id,source_schema,source_table,bronze_table,is_active,created_on,updated_on,target_partitions,pk_columns,batch_group,topic_group,tenant_group,is_modified_on_available
381,Resource,PayRate,resource_payrate,true,2026-08-18T11:05:45.366214Z,2026-08-18T11:05:45.366214Z,null,PayRateID,1,null,null,true
4,FireEvent,ActionTaken,fireevent_actiontaken,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,IncidentID,1,null,null,true
9,FireEvent,ApparatusAction,fireevent_apparatusaction,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,ApparatusID,1,null,null,true
10,FireEvent,ApparatusActionOther,fireevent_apparatusactionother,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,ApparatusActionID,1,null,null,true
11,FireEvent,ApparatusActionOtherApparatusActionModValue,fireevent_apparatusactionotherapparatusactionmodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,ApparatusActionID,1,null,null,true
12,FireEvent,ApparatusActionPrimaryApparatusActionModValue,fireevent_apparatusactionprimaryapparatusactionmodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,ApparatusID,1,null,null,true
13,FireEvent,ApparatusApparatusUseModValue,fireevent_apparatusapparatususemodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,ApparatusID,1,null,null,true
15,FireEvent,ApparatusPersonnelAction,fireevent_apparatuspersonnelaction,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,ApparatusPersonnelID,1,null,null,true
16,FireEvent,ApparatusPersonnelActionOther,fireevent_apparatuspersonnelactionother,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,ApparatusPersonnelActionID,1,null,null,true
17,FireEvent,ApparatusPersonnelActionOtherActionModValue,fireevent_apparatuspersonnelactionotheractionmodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,ApparatusPersonnelActionID,1,null,null,true
18,FireEvent,ApparatusPersonnelActionPrimaryActionModValue,fireevent_apparatuspersonnelactionprimaryactionmodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,ApparatusPersonnelID,1,null,null,true
19,FireEvent,ApparatusPersonnelLevelModValue,fireevent_apparatuspersonnellevelmodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,ApparatusPersonnelID,1,null,null,true
20,FireEvent,ApparatusPersonnelRoleModValue,fireevent_apparatuspersonnelrolemodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,ApparatusPersonnelID,1,null,null,true
21,FireEvent,ApparatusResponseModeModValue,fireevent_apparatusresponsemodemodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,ApparatusID,1,null,null,true
23,FireEvent,ApparatusTypeModValue,fireevent_apparatustypemodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,ApparatusID,1,null,null,true
24,FireEvent,Arson,fireevent_arson,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,IncidentID,1,null,null,true
25,FireEvent,ArsonAgencyReferredTo,fireevent_arsonagencyreferredto,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,IncidentID,1,null,null,true
26,FireEvent,ArsonAgencyReferredToAddress,fireevent_arsonagencyreferredtoaddress,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,IncidentID,1,null,null,true
27,FireEvent,ArsonAgencyReferredToAddressStreetPrefixModValue,fireevent_arsonagencyreferredtoaddressstreetprefixmodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,IncidentID,1,null,null,true
28,FireEvent,ArsonAgencyReferredToAddressStreetSuffixModValue,fireevent_arsonagencyreferredtoaddressstreetsuffixmodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,IncidentID,1,null,null,true
29,FireEvent,ArsonAgencyReferredToAddressStreetTypeModValue,fireevent_arsonagencyreferredtoaddressstreettypemodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,IncidentID,1,null,null,true
30,FireEvent,ArsonAgencyReferredToAgencyNameModValue,fireevent_arsonagencyreferredtoagencynamemodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,IncidentID,1,null,null,true
31,FireEvent,ArsonApparentGroupInvolvement,fireevent_arsonapparentgroupinvolvement,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,ArsonApparentGroupInvolvementID,1,null,null,true
32,FireEvent,ArsonApparentGroupInvolvementModValue,fireevent_arsonapparentgroupinvolvementmodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,ArsonApparentGroupInvolvementID,1,null,null,true
33,FireEvent,ArsonAvailabilityModValue,fireevent_arsonavailabilitymodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,IncidentID,1,null,null,true
34,FireEvent,ArsonCaseStatusModValue,fireevent_arsoncasestatusmodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,IncidentID,1,null,null,true
35,FireEvent,ArsonEntryMethodModValue,fireevent_arsonentrymethodmodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,IncidentID,1,null,null,true
36,FireEvent,ArsonExtentFireInvolvementModValue,fireevent_arsonextentfireinvolvementmodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,IncidentID,1,null,null,true
37,FireEvent,ArsonIncendiaryDeviceContainerModValue,fireevent_arsonincendiarydevicecontainermodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,IncidentID,1,null,null,true
38,FireEvent,ArsonIncendiaryDeviceFuelModValue,fireevent_arsonincendiarydevicefuelmodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,IncidentID,1,null,null,true
39,FireEvent,ArsonIncendiaryDeviceIgnitionModValue,fireevent_arsonincendiarydeviceignitionmodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,IncidentID,1,null,null,true
40,FireEvent,ArsonInitialInvestigation,fireevent_arsoninitialinvestigation,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,ArsonInitialInvestigationID,1,null,null,true
41,FireEvent,ArsonInitialInvestigationInformationModValue,fireevent_arsoninitialinvestigationinformationmodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,ArsonInitialInvestigationID,1,null,null,true
42,FireEvent,ArsonInitialObservation,fireevent_arsoninitialobservation,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,ArsonInitialObservationID,1,null,null,true
43,FireEvent,ArsonInitialObservationObservationModValue,fireevent_arsoninitialobservationobservationmodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,ArsonInitialObservationID,1,null,null,true
44,FireEvent,ArsonJuvenile,fireevent_arsonjuvenile,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,ArsonJuvenileID,1,null,null,true
